"TABLE_NAME"	"COLUMN_NAME"	"GERMAN"	"ENGLISH"	"TOOLTIP_GERMAN"	"TOOLTIP_ENGLISH"	"DIMENSION_TYPE"	"HIDDEN"	"EDITABLE"
"TAB_EXPRESSION_DATA_HEALTH_STATE_PROPERTIES"	"PROPERTY"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_HEALTH_STATE_PROPERTIES"	"PROPERTY_VALUE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_PROPERTIES"	"DATA_SOURCE_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_PROPERTIES"	"PROPERTY"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_PROPERTIES"	"PROPERTY_VALUE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_RECORDS"	"AGE_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_RECORDS"	"DATA_BASE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_RECORDS"	"DATA_BASE_REC_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_RECORDS"	"DATA_SOURCE_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_RECORDS"	"GENDER"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_RECORDS"	"HEALTH_STATE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_RECORDS"	"LAST_REFRESH_DATE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_RECORDS"	"SAMPLE_SOURCE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_RECORDS"	"TISSUE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_RECORDS"	"URL"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_SAMPLE_SOURCE_PROPERTIES"	"PROPERTY"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_SAMPLE_SOURCE_PROPERTIES"	"PROPERTY_VALUE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_SAMPLE_SOURCE_PROPERTIES"	"SAMPLE_SOURCE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_SAMPLE_SOURCES"	"INFORMATION"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_SAMPLE_SOURCES"	"SAMPLE_SOURCE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_TISSUE_PROPERTIES"	"PROPERTY"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_TISSUE_PROPERTIES"	"PROPERTY_VALUE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_TISSUE_PROPERTIES"	"TISSUE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_TISSUES"	"INFORMATION"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_TISSUES"	"TISSUE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_UNITS"	"INFORMATION"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_UNITS"	"UNIT"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_VALUES"	"DATA_SOURCE_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_VALUES"	"SAMPLE_COUNT"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_VALUES"	"TOTAL_COUNT"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_VALUES"	"UNIT"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_VALUES"	"VARIANT_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_GENE_NAME_TYPES"	"INFORMATION"	"leer"	"empty"	""	""	""	0	1
"TAB_GENE_NAME_TYPES"	"NAME_TYPE"	"leer"	"empty"	""	""	""	0	1
"TAB_GENE_NAMES"	"GENE_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_GENE_NAMES"	"GENE_NAME"	"leer"	"empty"	""	""	""	0	1
"TAB_GENE_NAMES"	"NAME_TYPE"	"leer"	"empty"	""	""	""	0	1
"TAB_GENE_VARIANTS"	"GENE_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_GENE_VARIANTS"	"VARIANT_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_GENE_VARIANTS"	"VARIANT_NAME"	"leer"	"empty"	""	""	""	0	1
"TAB_GENES"	"GENE_ID"	"leer"	"empty"	""	""	""	0	1
